NOMBRE,UBICACION,COORDENADAS,BARRIO,TEMATICA,TELEFONO,EMAIL,WEB,VIDEO
1690 Tierra Adentro,Pasaje Russel 5017,"-34.58759,-58.428778",Palermo,Anticuaria,1690 Tierra Adentro,florentino.ariza@1690ta.com/ isabel.debohemia@1690ta.com,www.1690ta.com,
Aars libreros,Larrea 938,"-34.597191,-58.401906",Recoleta,De viejo,4961-8054,aarslibreros@hotmail.com,,
Mundo Hispano,Av. Rivadavia 3474,"-34.610858,-58.415465",Almagro,Religión,4863-6745,info@editorialmh.com.ar,www.editorialmh.org,
Librerías ABC ,Lope de Vega 3128,"-34.613892,-58.525315",Villa General Mitre,General,4567-6700,,,
Abeledo Perrot,Lavalle 1280,"-34.60273,-58.384904",San Nicolás,"Ciencias económicas, jurídicas y empresariales",5235-5430,jose.pascual@abeledoperrot.com,www.abeledoperrot.com,
Voces del Sur,Azcuénaga 720,"-34.600821,-58.401003",Agronomía,Lenguas extranjeras,5218-7801/2,libreria@vocesdelsur.com,www.vocesdelsur.com,
ACME Agency,Suipacha 245 1º,"-34.60551,-58.379347",San Nicolás,Lenguas extranjeras,4328-1662,acme@redynet.com.ar,,
Ad-Hoc Editorial,Viamonte 1450,"-34.600626,-58.387398",San Nicolás,"Ciencias económicas, jurídicas y empresariales",4371-0778 / 4372-0401,info@adhoc-villela.com, www.editorialadhoc.com,
Ágape libros,José Cubas 3469,"-34.59317,-58.507673",Villa General Mitre,De viejo,4580-2860,sanmartin@agape-libros.com.ar / agape@agape-libros.com.ar,www.agape-libros.com.ar,
Librería Agropecuaria de Editorial Hemisferio Sur S.A.,Pasteur 743,"-34.600467,-58.399849",Balvanera,Ciencias naturales,4952-9825,informe@hemisferiosur.com.ar,www.hemisferiosur.com.ar,
Librería Aguilar,Blanco Encalada 2376,"-34.559109,-58.458841",Belgrano,De viejo,4782-1996,info@libreriaaguilar.com.ar,www.libreriaaguilar.com.ar,
Alberto Casares,Suipacha 521,"-34.602197,-58.379551",San Nicolás,Anticuaria,4322-6198,casareslibros@fibertel.com.ar,www.acasares.servisur.com,
Acción,Moreno 457,"-34.611345,-58.372783",Monserrat,General,Acción,libreriaaccion@uole.com / jlservan@neunet.com.ar,,
